X,Y
100,67
154,137
104,168
135,149
7,24
54,171
23,194
138,179
198,114
101,178
95,148
87,104
186,54
139,31
176,183
45,15
80,129
87,88
82,106
86,30
168,158
196,67
132,190
63,126
17,46
88,109
128,12
158,24
88,108
55,155
118,22
88,63
114,73
193,151
150,77
68,54
177,175
154,13
155,101
153,127
82,37
118,178
98,62
106,61
42,89
191,112
165,29
156,14
188,8
139,154
37,151
60,27
183,70
16,107
31,120
104,165
51,37
138,83
2,97
70,44
23,136
82,43
187,70
103,169
158,113
92,25
56,13
54,68
128,194
80,108
132,13
11,162
9,163
39,52
182,61
66,189
73,46
138,189
43,157
77,170
110,90
194,128
118,88
118,10
16,141
141,102
2,180
178,13
48,188
30,114
92,34
160,178
56,178
15,29
86,27
44,158
10,21
156,157
110,1
167,153
181,81
85,177
138,134
85,185
171,30
195,18
85,119
26,54
195,109
78,11
60,5
166,197
88,47
21,77
96,42
83,102
129,73
135,48
35,114
145,119
56,60
185,190
118,145
147,177
79,101
167,57
136,186
35,125
17,65
41,181
43,23
19,77
98,31
37,119
89,146
98,63
55,8
20,69
84,128
178,15
198,110
120,132
0,135
52,99
120,55
103,92
166,169
175,150
62,131
32,112
194,117
40,128
50,21
88,61
81,175
42,1
191,35
119,46
67,194
189,21
180,66
55,39
48,31
179,56
147,31
148,130
188,40
0,39
106,81
135,38
39,122
23,164
51,79
188,196
54,25
130,197
167,23
118,27
156,24
31,146
181,31
175,37
183,142
13,71
81,130
161,34
197,97
40,27
157,17
153,184
75,18
162,14
189,175
19,43
5,168
38,95
1,131
39,184
76,140
179,39
2,89
164,104
165,64
165,184
128,152
52,127
36,158
177,10
37,136
18,82
101,63
62,1
115,160
27,167
40,122
84,178
47,122
89,177
82,87
0,164
97,48
96,135
110,140
118,35
77,152
91,69
102,4
124,35
86,125
58,4
9,128
97,90
143,28
81,66
182,182
5,151
87,135
48,49
8,10
60,93
15,195
105,85
163,137
11,96
36,164
184,34
55,70
191,1
154,44
175,4
102,140
183,17
112,48
86,97
133,11
81,96
116,187
196,61
190,93
29,183
188,133
186,158
75,94
172,17
2,4
183,144
96,145
57,100
166,131
153,154
70,188
55,128
104,13
24,19
51,80
57,5
192,184
92,8
7,7
108,46
181,179
194,181
135,78
1,129
24,41
111,30
105,43
147,38
192,70
125,6
165,13
49,14
25,137
42,190
61,137
5,151
86,104
86,114
163,68
50,197
69,152
145,171
135,27
166,145
125,61
69,140
59,151
194,45
48,153
55,165
164,185
88,131
102,54
175,8
88,139
100,42
173,34
36,88
39,126
107,148
118,123
196,103
87,193
46,72
97,57
58,99
165,48
116,36
89,22
57,50
158,42
149,103
63,180
6,39
95,198
63,118
132,187
59,148
56,129
164,48
142,77
27,158
111,157
54,34
162,87
20,36
87,197
18,70
46,146
116,164
96,115
8,81
133,36
16,162
63,31
146,51
78,62
171,154
116,115
106,177
112,78
135,150
8,138
5,132
7,185
149,104
187,53
129,154
132,171
38,155
10,191
163,184
71,120
91,135
2,101
119,135
183,101
187,75
94,19
144,96
151,179
125,73
166,51
93,195
78,5
128,55
102,32
141,12
113,113
56,147
104,97
29,175
170,138
121,4
23,186
109,15
158,10
134,40
172,60
143,154
25,102
79,28
33,63
138,74
121,176
1,186
17,181
50,62
24,164
53,39
171,78
133,6
93,167
25,43
90,71
169,21
156,126
108,184
19,129
119,4
83,124
120,85
44,188
196,178
19,0
112,130
119,161
128,48
81,36
116,101
109,176
119,193
35,149
152,108
64,187
18,153
142,132
153,80
118,153
43,68
155,102
128,166
110,127
46,193
197,117
176,80
91,30
74,33
179,22
90,189
126,144
97,146
136,27
194,16
31,168
3,68
59,97
145,90
72,100
176,144
191,1
40,140
39,19
2,196
144,140
181,154
15,108
191,43
77,31
111,36
18,78
1,191
104,125
91,33
36,178
145,87
176,120
134,193
48,187
39,121
166,87
94,170
185,48
19,158
60,179
190,188
85,162
46,91
121,29
147,0
83,138
54,154
168,137
40,89
171,90
27,94
97,143
179,9
57,179
21,41
32,14
150,66
161,68
45,189
146,167
47,194
104,119
183,157
0,73
145,154
127,143
153,21
199,25
78,45
158,111
17,131
189,82
139,190
173,93
31,166
33,185
62,157
14,4
41,11
34,166
18,56
199,68
182,35
9,38
14,52
46,59
119,156
134,151
198,38
9,171
34,14
126,129
101,165
23,10
12,35
91,146
159,29
122,103
61,7
31,72
28,196
67,65
180,114
104,13
35,50
190,40
93,95
162,173
152,101
192,28
60,136
146,12
108,132
21,85
153,191
130,12
41,87
138,40
80,168
50,99
49,189
148,39
0,180
38,120
151,49
195,9
163,145
171,157
3,183
99,108
135,133
171,76
154,139
66,177
148,125
117,59
19,144
100,106
112,81
27,160
32,130
83,35
110,62
58,112
89,102
194,143
187,113
90,151
186,98
97,17
196,184
185,199
162,112
59,27
137,151
128,126
177,133
133,78
31,10
137,77
102,180
79,170
193,56
89,70
110,87
140,111
185,8
168,63
197,73
4,57
120,195
102,120
85,49
168,16
48,153
64,7
185,90
110,69
118,127
181,1
93,131
42,74
52,49
129,95
41,126
4,162
127,72
195,138
90,67
105,112
12,113
112,17
120,90
130,103
195,180
196,174
117,175
49,114
66,69
101,57
82,46
186,54
176,177
5,26
91,81
158,91
19,70
197,0
183,85
147,186
95,59
23,10
90,132
61,9
36,135
155,66
124,20
3,19
16,167
133,131
50,100
194,141
34,174
169,9
179,105
102,164
134,23
14,41
160,161
98,25
101,123
174,37
22,30
151,118
70,133
195,42
37,187
156,122
181,45
74,30
87,98
192,120
58,198
120,81
178,38
119,177
43,126
194,65
42,161
172,129
143,113
2,162
36,24
87,139
154,100
44,144
14,33
135,155
196,71
134,195
67,145
13,63
165,143
108,39
86,41
43,40
175,70
65,149
25,71
34,25
59,18
100,69
103,57
108,169
84,101
57,130
199,117
90,145
197,121
101,192
132,184
51,57
70,98
129,151
103,163
134,158
18,96
91,104
161,15
126,111
9,0
76,123
141,8
119,5
51,99
162,108
58,21
156,164
134,139
168,123
40,196
183,46
85,48
192,163
48,17
153,189
38,116
98,177
172,120
56,45
152,39
143,150
10,186
48,33
111,0
27,47
40,53
117,106
100,110
103,78
56,89
118,21
47,86
109,92
4,129
98,106
91,107
197,10
78,174
119,196
66,78
87,169
74,100
169,101
74,111
111,153
163,40
86,40
169,79
134,160
108,82
9,146
119,131
130,34
187,146
124,81
160,20
121,75
146,187
183,91
39,195
46,102
129,76
56,164
48,21
50,5
12,23
66,59
8,156
46,184
34,135
65,107
106,176
84,120
196,65
188,77
66,23
188,199
26,157
92,41
30,46
46,57
170,23
54,78
136,185
7,7
189,160
67,15
64,138
32,31
132,95
86,119
165,147
61,198
136,192
168,65
156,164
139,155
47,48
20,54
168,17
177,82
118,161
132,4
125,162
124,51
160,70
73,45
33,108
147,19
89,25
199,137
40,13
2,14
133,186
2,60
4,138
190,39
178,142
86,109
78,128
34,87
53,73
178,82
34,136
56,136
20,108
73,9
145,106
86,138
21,3
58,139
111,109
100,131
103,124
198,165
146,117
177,184
144,180
48,139
55,77
15,153
172,49
174,165
158,99
174,185
192,84
181,74
162,81
161,157
13,81
10,109
16,190
53,137
44,64
71,69
178,52
37,73
34,162
126,53
84,68
127,193
155,20
184,34
30,23
128,105
130,143
67,143
24,17
84,135
170,67
139,109
3,76
18,100
104,109
153,169
76,39
114,74
40,149
110,28
114,1
68,154
40,43
131,131
25,150
35,136
172,22
80,67
67,163
89,142
17,64
104,33
90,77
93,64
184,11
81,83
6,135
194,43
163,12
176,196
174,124
48,37
165,85
152,191
76,117
75,149
28,49
28,175
149,21
9,40
155,13
32,70
82,10
178,79
116,17
139,131
154,31
81,169
127,100
60,18
9,189
156,134
20,76
39,172
15,152
66,51
9,13
23,188
185,33
185,102
160,127
179,131
149,30
54,108
137,153
98,190
124,118
165,104
17,192
161,61
19,47
172,8
97,132
132,43
133,124
147,29
186,155
145,48
64,91
66,152
147,157
2,126
138,124
131,30
55,126
46,147
27,67
15,42
49,16
25,107
107,116
91,133
143,109
19,37
54,141
125,132
173,45
184,161
175,165
54,1
55,89
167,185
27,196
119,170
20,66
67,76
143,116
158,101
13,28
12,29
165,98
111,29
161,148
83,38
154,157
142,35
197,118
8,116
190,100
197,128
63,159
45,152
71,82
0,106
165,103
18,57
143,173
33,44
167,183
119,126
91,167
135,112
181,82
49,97
130,197
112,185
167,99
151,157
194,21
5,22
184,86
168,40
134,84
158,176
75,183
140,195
49,199
126,142
112,24
89,5
26,95
40,176
0,16
17,147
70,122
180,196
110,125
189,77
116,183
135,75
107,84
142,92
75,89
26,164
82,35
151,145
87,16
138,137
98,28
101,80
3,164
106,181
60,113
2,170
140,125
189,187
164,51
43,174
142,6
182,98
32,60
130,125
189,61
149,125
85,17
9,49
114,107
134,113
28,89
16,137
139,97
26,175
22,98
120,43
142,1
87,95
92,96
35,114
130,47
198,102
33,170
72,56
161,62
20,87
85,154
126,133
75,11
127,51
139,9
41,4
118,50
160,9
129,75
35,26
14,19
121,44
157,118
5,1
45,173
77,95
29,152
90,96
95,156
165,23
17,162
189,110
153,67
5,197
89,179
172,52
100,32
143,161
70,3
46,49
123,148
123,82
10,120
136,146
191,113
189,89
114,69
2,85
26,25
161,40
44,119
2,102
172,17
46,121
120,68
140,81
63,101
107,191
98,29
121,135
36,21
53,189
18,11
34,13
162,6
80,143
29,134
167,151
40,93
171,68
143,50
188,95
185,161
115,166
102,96
94,147
49,52
28,63
5,196
146,77
86,55
74,169
103,135
176,92
175,145
121,15
192,56
66,79
122,172
8,171
118,32
50,149
121,8
17,128
76,15
84,164
75,110
56,115
81,129
80,195
46,123
81,9
126,25
111,127
56,80
58,111
81,183
54,198
92,8
174,89
93,26
49,74
111,159
21,77
107,147
192,104
122,19
4,26
176,126
34,196
14,8
11,133
16,61
165,121
75,16
188,174
130,83
144,198
193,105
152,170
64,35
75,120
2,126
61,188
152,21
190,147
67,169
26,149
64,128
125,30
86,67
194,14
61,111
108,193
51,194
162,100
163,31
28,83
89,156
44,56
48,13
164,49
72,17
154,37
75,162
98,193
138,143
150,97
155,114
165,128
39,53
137,6
185,132
39,198
105,154
51,95
47,54
29,2
110,117
182,84
148,62
154,151
47,117
14,122
36,128
106,64
16,26
95,63
47,154
57,123
117,120
58,136
160,182
168,19
97,95
166,109
173,102
32,140
193,124
93,152
32,101
130,125
194,3
135,84
174,31
53,194
130,95
145,114
61,194
130,3
56,164
154,23
51,59
109,155
175,73
118,161
91,162
28,60
24,173
83,91
18,7
179,67
54,64
96,26
104,101
168,101
95,189
4,72
183,176
7,90
138,134
141,75
166,20
113,118
136,26
93,97
181,1
56,105
154,51
50,159
103,120
170,72
55,187
138,164
158,171
27,8
52,0
182,128
98,129
36,48
21,181
144,186
7,172
117,32
166,177
75,68
135,125
127,43
147,91
82,115
137,194
165,21
149,90
14,99
74,97
59,13
82,61
123,35
148,7
193,178
149,5
19,149
110,134
104,51
45,151
198,132
199,55
79,196
173,179
149,22
132,162
141,70
12,196
124,71
149,112
26,137
176,153
50,156
8,54
162,28
90,106
9,184
153,8
152,150
199,24
182,21
9,36
66,152
172,94
126,66
91,112
53,10
167,42
75,86
88,173
68,167
89,68
44,175
89,81
144,61
43,45
167,39
65,121
176,21
45,25
187,48
112,108
62,146
75,165
191,66
175,98
121,37
97,70
130,173
179,168
179,120
37,29
146,147
171,115
31,146
66,99
44,179
42,103
62,1
49,138
60,13
187,168
49,107
56,5
32,37
45,47
1,103
128,67
176,44
147,142
183,101
104,124
121,142
199,102
67,147
93,165
70,73
131,120
147,112
98,102
76,33
121,140
143,57
156,64
153,152
166,180
91,83
61,145
26,110
17,195
104,20
103,109
40,14
78,53
175,195
108,169
125,121
73,93
105,10
95,127
81,164
160,84
161,172
70,172
38,67
145,0
73,107
127,76
128,198
169,190
138,198
140,15
117,99
192,98
35,163
41,65
59,17
145,166
168,181
179,146
140,15
77,181
36,147
3,4
39,63
146,57
169,81
81,26
85,74
169,31
89,143
114,124
138,194
3,110
130,192
11,21
73,101
63,58
168,81
13,61
31,60
60,27
81,30
103,61
4,66
106,36
75,0
161,103
106,164
142,31
156,131
122,59
192,31
127,186
149,175
195,64
94,30
135,118
28,171
137,102
85,106
140,134
163,2
161,58
66,132
91,105
142,126
191,78
85,108
50,0
3,128
169,4
171,196
13,167
111,71
116,40
48,89
171,43
171,193
42,148
17,150
63,97
9,11
146,180
59,182
148,119
96,2
115,59
53,177
95,23
71,105
2,11
12,112
169,28
96,162
154,95
187,139
38,24
166,178
45,131
180,51
144,87
30,116
128,100
32,77
91,159
142,63
119,154
55,6
78,44
46,154
68,194
23,19
49,122
38,9
1,176
55,154
178,189
149,170
92,62
126,16
11,195
93,156
123,164
134,111
192,178
41,198
172,181
122,18
73,164
56,40
120,188
123,168
182,42
192,142
41,109
190,21
178,76
112,196
158,30
180,111
31,59
28,20
131,162
199,101
166,94
150,151
180,1
96,126
60,6
157,36
192,146
23,63
63,5
180,44
32,1
148,191
68,56
124,162
195,96
85,117
78,171
15,105
71,80
52,67
124,88
54,68
141,168
191,144
140,2
44,107
120,140
192,31
8,184
71,5
139,147
193,52
76,117
95,13
127,6
194,15
92,156
153,133
50,43
7,39
176,91
82,34
20,64
11,48
31,175
55,39
69,126
8,28
24,84
54,67
198,146
59,134
62,159
